id,length,t_enc_dec,t_flexprofile,encdec_vs_flex_identity,encdec_vs_afdb_3di,flex_vs_afdb_3di,mean_kl_encdec_to_flex
P01542,46,4.233796926000082,0.05357390100004977,0.45652173913043476,0.4782608695652174,0.3695652173913043,2.2015969429327096
P0A7N4,57,3.73848362800004,0.07832432400005018,0.6666666666666666,0.9122807017543859,0.6140350877192983,1.8541030685106914
P02798,61,6.401384861999986,0.053635572000075626,0.39344262295081966,0.8032786885245902,0.3114754098360656,1.9606384586115353
P61583,75,6.99366627500001,0.06152895000002445,0.18666666666666668,0.49333333333333335,0.41333333333333333,2.74779404481252
P24311,80,6.547081227999911,0.05986049399996318,0.625,0.8,0.575,2.0689137034118175
P0A7U3,92,5.219640697999921,0.04100368499996421,0.5978260869565217,0.8695652173913043,0.5760869565217391,1.6726120596994525
P63165,101,4.62021154599995,0.041357661000006374,0.801980198019802,0.8910891089108911,0.7722772277227723,1.5083068718414496
P10599,105,4.874769190000052,0.04452594199995019,0.7047619047619048,0.9142857142857143,0.6666666666666666,1.4755770109948658
P01308,110,4.676630465000017,0.044516917000009926,0.44545454545454544,0.5,0.2727272727272727,2.020960071412
P61769,119,5.056225918999985,0.04631617300003654,0.7226890756302521,0.8235294117647058,0.6302521008403361,1.5849896927340692
P37840,140,5.87887007300003,0.05261225700007799,0.4,0.7857142857142857,0.34285714285714286,2.333120427812849
Q57733,147,6.221150214999966,0.05255724900007408,0.5986394557823129,0.7414965986394558,0.6054421768707483,1.8057138830626092
P68871,147,6.247146977000057,0.053451003000077435,0.7210884353741497,0.8571428571428571,0.7278911564625851,1.5725992569307081
P00698,147,6.2676694460000135,0.05484207300003163,0.5102040816326531,0.8095238095238095,0.46938775510204084,1.8934268075592664
P61626,148,6.293304667000029,0.05239167299998826,0.5405405405405406,0.8378378378378378,0.49324324324324326,1.8679435814957361
P0DP27,149,6.300241900999936,0.05436284000006708,0.6711409395973155,0.912751677852349,0.6375838926174496,1.6726198670448074
P16949,149,6.20122062400003,0.05413710200002697,0.697986577181208,0.9194630872483222,0.697986577181208,1.9858326731912241
P68082,154,6.47689560699996,0.05700932600007036,0.7077922077922078,0.8376623376623377,0.6688311688311688,1.6739964409695043
P00441,154,6.476226472999997,0.05395746400006374,0.538961038961039,0.8246753246753247,0.512987012987013,1.6955749065458001
P0A7Y4,155,6.540550309000082,0.05549170000006143,0.6645161290322581,0.8,0.5870967741935483,1.5733235807188095
Q9R0Q7,160,9.874476803999983,0.10398526899996341,0.675,0.825,0.66875,1.6773258715867996
P18253,162,8.50269817000003,0.06021698799997921,0.5925925925925926,0.9012345679012346,0.5864197530864198,1.5503390127861942
A0A6G0XC32,163,7.676642090000087,0.053216316999964874,0.6625766871165644,0.6503067484662577,0.5337423312883436,1.8072777456301121
P62937,165,7.431956251999964,0.05522065900004236,0.5757575757575758,0.8787878787878788,0.6060606060606061,1.5792039374510447
P04808,185,8.453016266000077,0.05887624299998606,0.3837837837837838,0.6810810810810811,0.2810810810810811,2.2892011065740845
P43408,192,8.722873824999965,0.07320793899998534,0.7239583333333334,0.796875,0.671875,1.595544025922815
P0ACJ8,210,9.597303049000061,0.07763930299995536,0.6666666666666666,0.8047619047619048,0.6190476190476191,1.598049629302252
P69441,214,9.75527187199998,0.07661311299989393,0.6822429906542056,0.8457943925233645,0.6261682242990654,1.566871428183306
P01375,233,10.610973397999942,0.08673575399996025,0.5536480686695279,0.5793991416309013,0.4978540772532189,1.810950742131139
P0A7L0,234,10.84828706899998,0.08412019699994744,0.6581196581196581,0.8162393162393162,0.6282051282051282,1.4963174909353256
P42212,238,10.950093895999998,0.08554757100000643,0.24369747899159663,0.21428571428571427,0.25630252100840334,2.689124795068212
P63101,245,11.342255117000036,0.09459169800004474,0.7877551020408163,0.9224489795918367,0.763265306122449,1.504286648059378
P00766,245,11.27499120799996,0.09799831899999845,0.5918367346938775,0.7795918367346939,0.5510204081632653,1.64292797166474
P15378,248,11.29468223799995,0.09642336000001706,0.6774193548387096,0.8225806451612904,0.625,1.7025984573748805
P00918,260,11.947203994999995,0.11364549200004603,0.573076923076923,0.7346153846153847,0.5538461538461539,1.6427144288443603
P62593,286,13.128998314,0.12277837899989663,0.6328671328671329,0.8776223776223776,0.6363636363636364,1.6145831874825738
P24941,298,13.752892103999898,0.12286780399995223,0.6241610738255033,0.7416107382550335,0.5805369127516778,1.6823801062251098
P02686,304,14.058755405999932,0.12515634499993666,0.2730263157894737,0.6644736842105263,0.2565789473684211,2.635627388365959
P61869,305,13.978872326999976,0.13030146500000228,0.5508196721311476,0.6,0.4721311475409836,1.782940924558483
P63244,317,14.492948143000035,0.13854131699997652,0.6277602523659306,0.8138801261829653,0.6056782334384858,1.6296277345166974
P05089,322,17.87427295900011,0.15384644300002037,0.6024844720496895,0.7670807453416149,0.5279503105590062,1.686282365588668
P04406,335,15.31819145899999,0.14587920399981158,0.6567164179104478,0.9134328358208955,0.6626865671641791,1.548579442412106
P07688,335,14.874474674000112,0.15064547199995104,0.5462686567164179,0.7761194029850746,0.5074626865671642,1.7037680044992647
P00784,345,15.388392424999893,0.15326654699993014,0.6,0.7072463768115942,0.5739130434782609,1.6815756661304528
P0A988,366,16.352005765000058,0.1493020970001453,0.6857923497267759,0.7650273224043715,0.6502732240437158,1.4243112753649227
P02572,376,16.878099885999973,0.17126929100004418,0.6675531914893617,0.9175531914893617,0.6462765957446809,1.4906768342281909
P14598,390,17.622761287999992,0.2012615400001323,0.5692307692307692,0.7128205128205128,0.5205128205128206,1.9229190630790516
P04637,393,17.813659449999932,0.20870102200001384,0.6081424936386769,0.8244274809160306,0.5826972010178118,1.883888234884381
P0AEX9,396,17.841698248000057,0.1917607489999682,0.601010101010101,0.6994949494949495,0.5555555555555556,1.7090896745071267
P0A953,406,18.18425644900003,0.19096531500008496,0.6206896551724138,0.7463054187192119,0.5689655172413793,1.6462576417573567
P0DTC9,419,18.75760455799991,0.20864043999995374,0.26252983293556087,0.45823389021479716,0.3054892601431981,2.706006799791195
P0ABH7,427,19.187299302999918,0.21574783099981687,0.667447306791569,0.8548009367681498,0.6627634660421545,1.5625784011858688
P06280,429,19.38434240000015,0.21381394100012585,0.5827505827505828,0.7715617715617715,0.5337995337995338,1.7012105965530955
P0A855,430,19.237998356000162,0.20111256100017272,0.6558139534883721,0.713953488372093,0.5534883720930233,1.6031879603169685
P0A6P9,432,19.437479662999976,0.20881694700005937,0.6111111111111112,0.8310185185185185,0.5902777777777778,1.6450513050787978
P56252,433,19.42871789900005,0.2157551489999605,0.6397228637413395,0.8429561200923787,0.6327944572748267,1.6066956607491536
P34690,448,20.248140527000032,0.2058640299999297,0.6897321428571429,0.828125,0.6361607142857143,1.479037220157417
