id,length,t_enc_dec,t_flexprofile,encdec_vs_flex_identity,encdec_vs_afdb_3di,flex_vs_afdb_3di,mean_kl_encdec_to_flex
P01542,46,2.0140275000003385,0.031943988999955764,0.021739130434782608,0.4782608695652174,0.043478260869565216,3.06102540700332
P0A7N4,57,2.5050657069996305,0.03261815199994089,0.0,0.9122807017543859,0.0,3.0401408421365836
P02798,61,2.692445834999944,0.03293311300012647,0.0,0.8032786885245902,0.03278688524590164,3.0042016310770006
P61583,75,3.238019785999768,0.03905816600035905,0.0,0.49333333333333335,0.0,3.0453324127197265
P24311,80,3.4110044550002385,0.03885170800003834,0.0625,0.8,0.0875,2.9624760687351226
P0A7U3,92,3.9852297440002076,0.04078338600083953,0.03260869565217391,0.8695652173913043,0.021739130434782608,3.0144856546236123
P63165,101,4.299351071000274,0.04245816399998148,0.0297029702970297,0.8910891089108911,0.0297029702970297,3.0181100344893954
P10599,105,4.519686353999532,0.04596836699965934,0.06666666666666667,0.9142857142857143,0.0761904761904762,2.9797056311652774
P01308,110,4.700446878000548,0.04529772099976981,0.08181818181818182,0.5,0.05454545454545454,2.996204792369496
P61769,119,5.135350282999752,0.047787326999241486,0.03361344537815126,0.8235294117647058,0.03361344537815126,3.0263184018495703
