id,length,hf_ok,hf_matches_ref,custom_matches_ref,hf_matches_custom,t_hf,t_custom,draft_acceptance_rate
P01542,46,True,True,True,True,2.1811022980000416,1.9639055910001844,0.003012048192771084
P0A7N4,57,True,True,True,True,2.7212249710000833,2.569969156999832,0.0
P02798,61,True,True,True,True,2.9299508190006236,2.733898061000218,0.0
P61583,75,True,True,True,True,3.549310417000015,3.395064886999535,0.0
P24311,80,True,True,True,True,3.5517090480007028,3.341995047000637,0.00874125874125874
P0A7U3,92,True,True,True,True,4.272119158000351,3.9890417410006194,0.0043859649122807015
P63165,101,True,True,True,True,4.705103642000722,4.381989324999267,0.003968253968253968
P10599,105,True,True,True,True,4.673418600999867,4.414969465000468,0.009259259259259259
P01308,110,True,True,True,True,4.782780563000415,4.548770805999993,0.011538461538461539
P61769,119,True,True,True,True,5.461422513999423,5.171271691999209,0.004484304932735426
