protein_id,length,drafter,K,wall_s,speedup,acceptance_rate,mean_tokens_per_step,n_steps,peak_vram_gb,k_history,conf_threshold
P02798,61,enc_dec,0,3.0422135910012003,1.0,,1.0,61,5.703990784,,
P02798,61,cnn,1,2.5324818169992795,1.201277565185403,0.22,1.2156862745098038,51,5.728447488,,
P02798,61,cnn,4,3.0291760199997952,1.0043039991454197,0.06217616580310881,1.24,50,5.730284032,,
P02798,61,cnn,8,2.6853152250005223,1.1329074377108217,0.03234501347708895,1.24,50,5.732209664,,
P02798,61,cnn,12,2.7736977549993753,1.096807893188018,0.0225140712945591,1.24,50,5.734134784,,
P02798,61,cnn,-1,2.586937037000098,1.1759905817147591,0.2037037037037037,1.2156862745098038,51,5.728447488,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0]",0.4
P02798,61,hmm,1,1.7324552340014634,1.7560128142385412,0.7941176470588235,1.7714285714285714,35,5.728447488,,
P02798,61,hmm,4,1.1831040879987995,2.57138287481286,0.5061728395061729,2.9523809523809526,21,5.729325056,,
P02798,61,hmm,8,1.107368545999634,2.7472458035684584,0.3358208955223881,3.6470588235294117,17,5.730944512,,
P02798,61,hmm,12,0.9461751180006104,3.2152754105707078,0.24731182795698925,3.875,16,5.733703168,,
P02798,61,hmm,-1,1.1826959810005064,2.5722701690654493,0.6842105263157895,2.6956521739130435,23,5.728182784,"[4, 2, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 9, 2, 9, 2, 6]",0.3
P02798,61,pa_hmm,1,2.2123760289996426,1.3750888416454143,0.7941176470588235,1.7714285714285714,35,5.728447488,,
P02798,61,pa_hmm,4,1.1855665229995793,2.566042083664908,0.5061728395061729,2.9523809523809526,21,5.729325056,,
P02798,61,pa_hmm,8,1.0806504820011469,2.8151688651150497,0.3358208955223881,3.6470588235294117,17,5.730944512,,
P02798,61,pa_hmm,12,1.086025927999799,2.801234770337604,0.24731182795698925,3.875,16,5.733703168,,
P02798,61,pa_hmm,-1,1.4749875180004892,2.0625351427551477,0.7358490566037735,2.6956521739130435,23,5.728182784,"[4, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 9, 2, 9, 2, 6]",0.3
Q941C7,75,enc_dec,0,3.2948589299994637,1.0,,1.0,75,5.715147776,,
Q941C7,75,cnn,1,2.728253326000413,1.2076807159361875,0.3888888888888889,1.3818181818181818,55,5.745032704,,
Q941C7,75,cnn,4,2.7269455790010397,1.2082598770476627,0.14285714285714285,1.5510204081632653,49,5.746875392,,
Q941C7,75,cnn,8,2.638562707001256,1.2487324713779846,0.0743801652892562,1.5510204081632653,49,5.748808192,,
Q941C7,75,cnn,12,2.712920310001209,1.2145063450087095,0.05172413793103448,1.5510204081632653,49,5.750652416,,
Q941C7,75,cnn,-1,3.048548655999184,1.0807959136606102,0.38181818181818183,1.3818181818181818,55,5.745032704,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.4
Q941C7,75,hmm,1,3.2501264629991056,1.0137633004468019,0.171875,1.1692307692307693,65,5.74542592,,
Q941C7,75,hmm,4,3.3813032349989953,0.9744346191418832,0.04878048780487805,1.1875,64,5.746875392,,
Q941C7,75,hmm,8,3.7884679210001195,0.869707490918823,0.025210084033613446,1.1875,64,5.748808192,,
Q941C7,75,hmm,12,3.945128621000549,0.835171485274372,0.017366136034732273,1.1875,64,5.750652416,,
Q941C7,75,hmm,-1,3.350386541000262,0.9834265060698876,0.13043478260869565,1.1875,64,5.745819136,"[2, 2, 1, 1, 3, 2, 1, 4, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 3, 2, 1, 1, 2, 3, 2, 1, 1, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.3
Q941C7,75,pa_hmm,1,3.4535042730003624,0.9540625027624275,0.10294117647058823,1.1014492753623188,69,5.74542592,,
Q941C7,75,pa_hmm,4,3.6227038510005514,0.9095026989549421,0.03937007874015748,1.1515151515151516,66,5.746875392,,
Q941C7,75,pa_hmm,8,4.058173908000754,0.8119067848481302,0.02032520325203252,1.1515151515151516,66,5.748808192,,
Q941C7,75,pa_hmm,12,4.370847892998427,0.7538260334516403,0.01566951566951567,1.1692307692307693,65,5.75074048,,
Q941C7,75,pa_hmm,-1,3.4847172839999985,0.9455168558803134,0.08974358974358974,1.1014492753623188,69,5.745819136,"[2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.3
B3H5J1,88,enc_dec,0,3.9585001510004076,1.0,,1.0,88,5.725514752,,
B3H5J1,88,cnn,1,3.6083987090005394,1.097024045908951,0.29411764705882354,1.289855072463768,69,5.760431616,,
B3H5J1,88,cnn,4,3.6642944140003237,1.0802898740548794,0.09055118110236221,1.3484848484848484,66,5.762278912,,
B3H5J1,88,cnn,8,3.473146801999974,1.139744553475525,0.049586776859504134,1.3692307692307693,65,5.764218368,,
