protein_id,K,alpha,predicted_tok_per_step,measured_tok_per_step,measured_speedup,measured_acceptance
P01542,1,0.5618158578872681,1.561815857887268,1.4242424242424243,1.2292430908865488,0.42424242424242425
P01542,3,0.5618158578872681,2.0547828206796934,1.4242424242424243,1.2306158188773226,0.1414141414141414
P01542,5,0.5618158578872681,2.210381462592273,1.4242424242424243,1.2391834104888648,0.08484848484848485
P01542,8,0.5618158578872681,2.2694196499935675,1.4242424242424243,1.2168040173897607,0.05303030303030303
P0A7N4,1,0.40701359510421753,1.4070135951042175,1.2608695652173914,1.1010994775956497,0.2608695652173913
P0A7N4,3,0.40701359510421753,1.6400995609758091,1.380952380952381,1.198842891688122,0.12698412698412698
P0A7N4,5,0.40701359510421753,1.678712597605543,1.380952380952381,1.199999761151747,0.0761904761904762
P0A7N4,8,0.40701359510421753,1.6858623682165514,1.380952380952381,1.1914020042010511,0.047619047619047616
P02798,1,0.3192615509033203,1.3192615509033203,1.2156862745098038,1.0869116897420799,0.21568627450980393
P02798,3,0.3192615509033203,1.4537311603181178,1.2156862745098038,1.0775009449901705,0.0718954248366013
P02798,5,0.3192615509033203,1.4674373703139956,1.2156862745098038,1.0851353676796769,0.043137254901960784
P02798,8,0.3192615509033203,1.4689423536835378,1.2156862745098038,1.0779829387909068,0.02696078431372549
P61583,1,0.585659384727478,1.585659384727478,1.4901960784313726,1.3180799382149964,0.49019607843137253
P61583,3,0.585659384727478,2.1295356618019463,1.4901960784313726,1.3172317528312087,0.16339869281045752
P61583,5,0.585659384727478,2.3160835469363206,1.4901960784313726,1.3062640875893097,0.09803921568627451
P61583,8,0.585659384727478,2.3939096852533366,1.4901960784313726,1.3198216659581996,0.061274509803921566
P24311,1,0.3815007507801056,1.3815007507801056,1.4464285714285714,1.2580013199072604,0.44642857142857145
P24311,3,0.3815007507801056,1.5825682698122123,1.4464285714285714,1.268730390037632,0.1488095238095238
P24311,5,0.3815007507801056,1.6118322041147437,1.4464285714285714,1.2824724238311562,0.08928571428571429
P24311,8,0.3815007507801056,1.6165400670626917,1.4464285714285714,1.2763261894552476,0.05580357142857143
P0A7U3,1,0.335214227437973,1.335214227437973,1.3676470588235294,1.204677246990205,0.36764705882352944
P0A7U3,3,0.335214227437973,1.4852503518701834,1.4090909090909092,1.2287945436429328,0.13636363636363635
P0A7U3,5,0.335214227437973,1.5021096978627975,1.4090909090909092,1.2431955282098694,0.08181818181818182
